n,N,version,best_ms,median_ms,count
3,1000,sieve_cpu,0.158,0.158,168
3,1000,sieve_gpu,4.962,4.962,168
3,1000,sieve_gpu_barrett,4.753,4.753,168
4,10000,sieve_cpu,0.148,0.148,1229
4,10000,sieve_gpu,4.968,4.968,1229
4,10000,sieve_gpu_barrett,5.095,5.095,1229
5,100000,sieve_cpu,0.148,0.148,9592
5,100000,sieve_gpu,5.425,5.425,9592
5,100000,sieve_gpu_barrett,5.275,5.275,9592
6,1000000,sieve_cpu,0.178,0.178,78498
6,1000000,sieve_gpu,5.446,5.446,78498
6,1000000,sieve_gpu_barrett,5.214,5.214,78498
7,10000000,sieve_cpu,0.643,0.643,664579
7,10000000,sieve_gpu,5.99,5.99,664579
7,10000000,sieve_gpu_barrett,5.919,5.919,664579
8,100000000,sieve_cpu,3.953,3.953,5761455
8,100000000,sieve_gpu,13.759,13.759,5761455
8,100000000,sieve_gpu_barrett,12.306,12.306,5761455
9,1000000000,sieve_cpu,34.613,34.613,50847534
9,1000000000,sieve_gpu,38.983,38.983,50847534
9,1000000000,sieve_gpu_barrett,29.699,29.699,50847534
10,10000000000,sieve_cpu,397.709,397.709,455052511
10,10000000000,sieve_gpu,357.704,357.704,455052511
10,10000000000,sieve_gpu_barrett,214.808,214.808,455052511
11,100000000000,sieve_cpu,5555.651,5555.651,4118054813
11,100000000000,sieve_gpu,7484.95,7484.95,4118054813
11,100000000000,sieve_gpu_barrett,2732.012,2732.012,4118054813
12,1000000000000,sieve_cpu,97743.578,97743.578,37607912018
12,1000000000000,sieve_gpu,196918.816,196918.816,37607912018
12,1000000000000,sieve_gpu_barrett,56467.147,56467.147,37607912018
