version,N,threads,repeats,count,best_ms,speedup_self,efficiency
partition,100000000,1,2,5761455,16238.077,1.0,1.0
partition,100000000,2,2,5761455,10888.77,1.491,0.746
partition,100000000,4,2,5761455,5990.265,2.711,0.678
partition,100000000,8,2,5761455,3111.877,5.218,0.652
partition,100000000,12,2,5761455,2113.043,7.685,0.64
partition,100000000,16,2,5761455,1765.166,9.199,0.575
stripe,100000000,1,2,5761455,15880.399,1.0,1.0
stripe,100000000,2,2,5761455,16245.315,0.978,0.489
stripe,100000000,4,2,5761455,8770.659,1.811,0.453
stripe,100000000,8,2,5761455,4409.827,3.601,0.45
stripe,100000000,12,2,5761455,4418.35,3.594,0.3
stripe,100000000,16,2,5761455,2217.522,7.161,0.448
atomic_counter,100000000,1,2,5761455,16449.063,1.0,1.0
atomic_counter,100000000,2,2,5761455,16171.625,1.017,0.509
atomic_counter,100000000,4,2,5761455,8246.23,1.995,0.499
atomic_counter,100000000,8,2,5761455,4478.836,3.673,0.459
atomic_counter,100000000,12,2,5761455,4451.773,3.695,0.308
atomic_counter,100000000,16,2,5761455,2313.237,7.111,0.444
atomic_dynamic,100000000,1,2,5761455,16129.341,1.0,1.0
atomic_dynamic,100000000,2,2,5761455,8246.106,1.956,0.978
atomic_dynamic,100000000,4,2,5761455,4479.453,3.601,0.9
atomic_dynamic,100000000,8,2,5761455,2217.341,7.274,0.909
atomic_dynamic,100000000,12,2,5761455,1522.852,10.592,0.883
atomic_dynamic,100000000,16,2,5761455,1423.237,11.333,0.708
openmp,100000000,1,2,5761455,15814.912,1.0,1.0
openmp,100000000,2,2,5761455,8124.385,1.947,0.973
openmp,100000000,4,2,5761455,4400.247,3.594,0.899
openmp,100000000,8,2,5761455,2190.438,7.22,0.902
openmp,100000000,12,2,5761455,1494.16,10.584,0.882
openmp,100000000,16,2,5761455,1412.696,11.195,0.7
