n,N,version,best_ms,median_ms,count
3,1000,sieve_cpu,3.305,3.337,168
3,1000,sieve_gpu,0.403,0.555,168
3,1000,sieve_gpu_barrett,0.301,0.329,168
4,10000,sieve_cpu,3.168,3.292,1229
4,10000,sieve_gpu,0.582,0.616,1229
4,10000,sieve_gpu_barrett,0.321,0.338,1229
5,100000,sieve_cpu,3.208,3.36,9592
5,100000,sieve_gpu,0.641,0.658,9592
5,100000,sieve_gpu_barrett,0.425,0.426,9592
6,1000000,sieve_cpu,3.452,3.767,78498
6,1000000,sieve_gpu,0.68,0.69,78498
6,1000000,sieve_gpu_barrett,0.455,0.47,78498
7,10000000,sieve_cpu,3.904,4.197,664579
7,10000000,sieve_gpu,0.856,0.872,664579
7,10000000,sieve_gpu_barrett,0.762,0.763,664579
8,100000000,sieve_cpu,11.781,11.831,5761455
8,100000000,sieve_gpu,3.137,3.154,5761455
8,100000000,sieve_gpu_barrett,3.065,3.077,5761455
9,1000000000,sieve_cpu,90.104,91.683,50847534
9,1000000000,sieve_gpu,20.027,20.121,50847534
9,1000000000,sieve_gpu_barrett,19.193,19.215,50847534
10,10000000000,sieve_cpu,973.821,982.198,455052511
10,10000000000,sieve_gpu,148.087,159.427,455052511
10,10000000000,sieve_gpu_barrett,135.958,137.298,455052511
11,100000000000,sieve_cpu,12478.942,12561.962,4118054813
11,100000000000,sieve_gpu,1982.572,1988.428,4118054813
11,100000000000,sieve_gpu_barrett,1698.975,1699.703,4118054813
